Identifiant OP;Code INSEE;Code Postal;Nom
586;01001;01400;L'ABERGEMENT-CLEMENCIAT
587;01002;01640;L'ABERGEMENT-DE-VAREY
588;01003;01090;AMAREINS
589;01004;01500;AMBERIEU-EN-BUGEY
590;01004;01501;AMBERIEU-EN-BUGEY
591;01004;01502;AMBERIEU-EN-BUGEY
592;01004;01503;AMBERIEU-EN-BUGEY
593;01004;01504;AMBERIEU-EN-BUGEY
594;01004;01505;AMBERIEU-EN-BUGEY
595;01004;01506;AMBERIEU-EN-BUGEY
596;01004;01508;AMBERIEU-EN-BUGEY
597;01004;01507;AMBERIEU-EN-BUGEY
598;01004;01509;AMBERIEU-EN-BUGEY
599;01005;01330;AMBERIEUX-EN-DOMBES
600;01006;01300;AMBLEON
601;01007;01500;AMBRONAY
602;01008;01500;AMBUTRIX
603;01009;01300;ANDERT-ET-CONDON
604;01010;01350;ANGLEFORT
605;01011;01100;APREMONT
606;01012;01110;ARANC
607;01013;01230;ARANDAS
608;01014;01100;ARBENT
609;01015;01300;ARBIGNIEU
610;01016;01190;ARBIGNY
611;01017;01230;ARGIS
612;01019;01510;ARMIX
613;01021;01480;ARS-SUR-FORMANS
614;01022;01510;ARTEMARE
615;01023;01570;ASNIERES-SUR-SAONE
616;01024;01340;ATTIGNAT
617;01025;01380;BAGE-LA-VILLE
618;01026;01380;BAGE-LE-CHATEL
619;01027;01360;BALAN
620;01028;01990;BANEINS
621;01029;01270;BEAUPONT
622;01030;01480;BEAUREGARD
623;01031;01100;BELLIGNAT
624;01032;01360;BELIGNEUX
625;01032;01365;BELIGNEUX
626;01032;01366;BELIGNEUX
627;01032;01361;BELIGNEUX
628;01032;01362;BELIGNEUX
629;01032;01363;BELIGNEUX
630;01032;01364;BELIGNEUX
631;01032;01367;BELIGNEUX
632;01032;01368;BELIGNEUX
633;01032;01369;BELIGNEUX
634;01033;01201;BELLEGARDE-SUR-VALSERINE
635;01033;01202;BELLEGARDE-SUR-VALSERINE
636;01033;01203;BELLEGARDE-SUR-VALSERINE
637;01033;01204;BELLEGARDE-SUR-VALSERINE
638;01033;01205;BELLEGARDE-SUR-VALSERINE
639;01033;01206;BELLEGARDE-SUR-VALSERINE
640;01033;01207;BELLEGARDE-SUR-VALSERINE
641;01033;01208;BELLEGARDE-SUR-VALSERINE
642;01033;01209;BELLEGARDE-SUR-VALSERINE
643;01033;01200;BELLEGARDE-SUR-VALSERINE
644;01034;01300;BELLEY
645;01034;01301;BELLEY
646;01034;01302;BELLEY
647;01034;01303;BELLEY
648;01034;01304;BELLEY
649;01034;01305;BELLEY
650;01034;01306;BELLEY
651;01034;01307;BELLEY
652;01034;01308;BELLEY
653;01034;01309;BELLEY
654;01035;01130;BELLEYDOUX
655;01036;01260;BELMONT-LUTHEZIEU
656;01037;01470;BENONCES
657;01038;01370;BENY
658;01039;01350;BEON
659;01040;01340;BEREZIAT
660;01041;01500;BETTANT
661;01042;01290;BEY
662;01043;01700;BEYNOST
663;01044;01200;BILLIAT
664;01045;01330;BIRIEUX
665;01046;01290;BIZIAT
666;01047;01150;BLYES
667;01048;01250;BOHAS
668;01049;01120;LA BOISSE
669;01050;01190;BOISSEY
670;01050;01380;BOISSEY
671;01051;01450;BOLOZON
